PLAYUC,TIME,SCORE,MAR,PLAYVisitor
,18:41,,,FOULbySolomonMitchell(P3T1)
TURNOVRbyJacksonVance,18:39,,,
,18:37,,,STEALbyFortePhil
REBOUND(DEF)byFaceyKentan,18:33,,,MISSEDJUMPERbyFortePhil
GOOD!LAYUPbyPurvisRodney[FB/PNT],18:23,30-43,-13,
ASSISTbyAdamsJalen,18:23,,,
,17:54,30-46,-16,GOOD!3PTRbyHammondsLeyton
,17:54,,,ASSISTbyWatersLindy
GOOD!3PTRbyJacksonVance,17:34,33-46,-13,
REBOUND(DEF)byJacksonVance,17:24,,,MISSED3PTRbyEvansJawun
,17:23,,,FOULbyHammondsLeyton(P3T2)
,17:23,,,SUBIN:ShineTavarius
,17:23,,,SUBIN:McGriffCameron
,17:23,,,SUBIN:CarrollJeffrey
,17:23,,,SUBOUT:SolomonMitchell
,17:23,,,SUBOUT:WatersLindy
,17:23,,,SUBOUT:FortePhil
GOOD!FTSHOTbyPurvisRodney,17:20,34-46,-12,FOULbyHammondsLeyton(P4T3)
GOOD!FTSHOTbyPurvisRodney,17:20,35-46,-11,
,17:20,,,SUBIN:WatersLindy
,17:20,,,SUBOUT:HammondsLeyton
FOULbyBrimahAmida(P3T1),17:08,,,
SUBIN:EnochSteven,17:08,,,
SUBOUT:BrimahAmida,17:08,,,
BLOCKbyFaceyKentan,17:03,,,MISSEDLAYUPbyShineTavarius
REBOUND(DEF)byFaceyKentan,17:01,,,
MISSEDJUMPERbyAdamsJalen,16:57,,,REBOUND(DEF)byCarrollJeffrey
FOULbyEnochSteven(P2T2),16:54,,,
,16:32,,,TURNOVRbyWatersLindy
SUBIN:VitalChristian,16:32,,,
SUBOUT:FaceyKentan,16:32,,,
TURNOVRbyAdamsJalen,16:21,,,
,16:20,,,STEALbyEvansJawun
,16:17,35-48,-13,GOOD!LAYUPbyCarrollJeffrey[FB/PNT]
,16:17,,,ASSISTbyEvansJawun
GOOD!3PTRbyAdamsJalen,15:52,38-48,-10,
ASSISTbyEnochSteven,15:52,,,
,15:49,,,TIMEOUTMEDIA
,15:20,,,MISSED3PTRbyEvansJawun
,15:20,,,REBOUND(OFF)byCarrollJeffrey
,15:16,38-50,-12,GOOD!TIP-INbyCarrollJeffrey[PNT]
MISSEDLAYUPbyAdamsJalen,15:03,,,
REBOUND(OFF)byEnochSteven,15:03,,,
,15:02,,,SUBIN:N'GuessanLucas
,15:02,,,SUBOUT:McGriffCameron
,14:59,,,FOULbyEvansJawun(P2T4)
TURNOVRbyVitalChristian,14:57,,,
,14:55,,,STEALbyWatersLindy
,14:53,38-52,-14,GOOD!DUNKbyCarrollJeffrey[FB/PNT]
,14:53,,,ASSISTbyEvansJawun
GOOD!FTSHOTbyJacksonVance,14:33,39-52,-13,FOULbyN'GuessanLucas(P3T5)
GOOD!FTSHOTbyJacksonVance,14:33,40-52,-12,
,14:33,,,SUBIN:McGriffCameron
,14:33,,,SUBIN:FortePhil
,14:33,,,SUBOUT:WatersLindy
,14:33,,,SUBOUT:ShineTavarius
,14:11,,,TURNOVRbyN'GuessanLucas
MISSEDDUNKbyEnochSteven,13:52,,,
REBOUND(OFF)byPurvisRodney,13:52,,,
MISSEDFTSHOTbyPurvisRodney,13:48,,,FOULbyN'GuessanLucas(P4T6)
REBOUND(OFF)by(DEADBALL),13:48,,,
MISSEDFTSHOTbyPurvisRodney,13:48,,,REBOUND(DEF)byMcGriffCameron
,13:48,,,SUBIN:WatersLindy
,13:48,,,SUBOUT:N'GuessanLucas
,13:37,40-55,-15,GOOD!3PTRbyCarrollJeffrey
,13:37,,,ASSISTbyEvansJawun
MISSED3PTRbyVitalChristian,13:19,,,REBOUND(DEF)byCarrollJeffrey
,12:54,40-58,-18,GOOD!3PTRbyMcGriffCameron
,12:54,,,ASSISTbyCarrollJeffrey
TIMEOUT30sec,12:54,,,
SUBIN:BrimahAmida,12:54,,,SUBIN:AveretteBrandon
SUBIN:FaceyKentan,12:54,,,SUBOUT:EvansJawun
SUBOUT:EnochSteven,12:54,,,
SUBOUT:JacksonVance,12:54,,,
GOOD!LAYUPbyAdamsJalen[PNT],12:45,42-58,-16,
FOULbyFaceyKentan(P2T3),12:14,42-59,-17,GOOD!FTSHOTbyMcGriffCameron
,12:14,42-60,-18,GOOD!FTSHOTbyMcGriffCameron
GOOD!FTSHOTbyPurvisRodney,12:14,43-60,-17,FOULbyCarrollJeffrey(P2T7)
GOOD!FTSHOTbyPurvisRodney,12:14,44-60,-16,
,12:14,,,SUBIN:ShineTavarius
,12:14,,,SUBOUT:CarrollJeffrey
REBOUND(DEF)byVitalChristian,11:53,,,MISSEDJUMPERbyMcGriffCameron
GOOD!JUMPERbyAdamsJalen[PNT],11:45,46-60,-14,
BLOCKbyBrimahAmida,11:32,,,MISSEDDUNKbyMcGriffCameron
,11:32,,,REBOUND(OFF)by(TEAM)
,11:32,,,TIMEOUTMEDIA
,11:32,,,SUBIN:EvansJawun
,11:32,,,SUBOUT:AveretteBrandon
BLOCKbyFaceyKentan,11:04,,,MISSEDLAYUPbyFortePhil
,11:04,,,REBOUND(OFF)by(TEAM)
,11:02,,,MISSEDJUMPERbyEvansJawun
,11:02,,,REBOUND(OFF)byFortePhil
FOULbyBrimahAmida(P4T4),10:57,46-61,-15,GOOD!FTSHOTbyMcGriffCameron
,10:57,46-62,-16,GOOD!FTSHOTbyMcGriffCameron
SUBIN:JacksonVance,10:57,,,SUBIN:SolomonMitchell
SUBOUT:BrimahAmida,10:57,,,SUBOUT:WatersLindy
TURNOVRbyJacksonVance,10:52,,,
,10:50,,,STEALbyEvansJawun
,10:47,46-64,-18,GOOD!LAYUPbyEvansJawun[FB/PNT]
GOOD!FTSHOTbyAdamsJalen,10:44,47-64,-17,FOULbyEvansJawun(P3T8)
MISSEDFTSHOTbyAdamsJalen,10:44,,,REBOUND(DEF)byMcGriffCameron
FOULbyJacksonVance(P2T5),10:43,,,
FOULbyVitalChristian(P2T6),10:34,,,
,10:30,47-66,-19,GOOD!DUNKbyMcGriffCameron[PNT]
,10:30,,,ASSISTbyFortePhil
MISSED3PTRbyAdamsJalen,10:15,,,
REBOUND(OFF)byAdamsJalen,10:15,,,
GOOD!FTSHOTbyVitalChristian,10:09,48-66,-18,FOULbySolomonMitchell(P4T9)
GOOD!FTSHOTbyVitalChristian,10:09,49-66,-17,
SUBIN:EnochSteven,10:09,,,SUBIN:N'GuessanLucas
SUBOUT:JacksonVance,10:09,,,SUBOUT:SolomonMitchell
STEALbyEnochSteven,09:57,,,TURNOVRbyN'GuessanLucas
GOOD!FTSHOTbyEnochSteven,09:57,50-66,-16,FOULbyN'GuessanLucas(P5T10)
MISSEDFTSHOTbyEnochSteven,09:57,,,REBOUND(DEF)byMcGriffCameron
,09:57,,,SUBIN:WatersLindy
,09:57,,,SUBOUT:N'GuessanLucas
FOULbyFaceyKentan(P3T7),09:32,,,
FOULTECHNCLbythebench,09:32,50-67,-17,GOOD!FTSHOTbyFortePhil
,09:32,,,MISSEDFTSHOTbyFortePhil
,09:32,,,REBOUND(OFF)by(DEADBALL)
,09:32,50-68,-18,GOOD!FTSHOTbyMcGriffCameron
,09:32,,,MISSEDFTSHOTbyMcGriffCameron
,09:32,,,REBOUND(OFF)byShineTavarius
FOULbyVitalChristian(P3T8),09:29,,,MISSEDFTSHOTbyEvansJawun
REBOUND(DEF)byFaceyKentan,09:29,,,
GOOD!FTSHOTbyFaceyKentan,09:27,51-68,-17,FOULbyMcGriffCameron(P2T11)
GOOD!FTSHOTbyFaceyKentan,09:27,52-68,-16,
,09:17,52-71,-19,GOOD!3PTRbyFortePhil
