PLAYHome,TIME,SCORE,MAR,PLAYUC
GOOD!JUMPERbyGoodwinRohndell[FB/PNT],03:00,39-39,0,
ASSISTbyPopeAustin,03:00,,,
,02:54,,,TIMEOUT30sec
REBOUND(DEF)byPollardNate,02:31,,,MISSED3PTRbyAdamsJalen
TURNOVRbyPopeAustin,02:14,,,
,02:13,,,STEALbyAdamsJalen
,02:11,39-41,2,GOOD!LAYUPbyVitalChristian[FB/PNT]
,02:11,,,ASSISTbyAdamsJalen
MISSEDLAYUPbyDalySam,01:51,,,REBOUND(DEF)byAdamsJalen
,01:44,39-43,4,GOOD!LAYUPbyAdamsJalen[FB/PNT]
GOOD!3PTRbyGoodwinRohndell,01:20,42-43,1,
ASSISTbyDalySam,01:20,,,
,00:58,42-45,3,GOOD!JUMPERbyAdamsJalen
GOOD!3PTRbyPopeAustin,00:38,45-45,0,
,00:04,,,MISSED3PTRbyPurvisRodney
,00:04,,,REBOUND(OFF)byAdamsJalen
,00:01,,,TIMEOUT30sec
,00:01,,,SUBIN:JacksonVance
,00:01,,,SUBOUT:DurhamJuwan
MISSEDLAYUPbyGoodwinRohndell,19:45,,,
REBOUND(OFF)byDalySam,19:45,,,
GOOD!LAYUPbyDalySam[PNT],19:45,47-45,-2,
GOOD!FTSHOTbyDalySam,19:45,48-45,-3,
FOULbyDalySam(P1T1),19:34,,,
,19:16,48-47,-1,GOOD!JUMPERbyAdamsJalen
TURNOVRbyDalySam,18:52,,,
,18:51,,,STEALbyPurvisRodney
FOULbyKuanyKuany(P3T2),18:47,48-48,0,GOOD!FTSHOTbyPurvisRodney
,18:47,48-49,1,GOOD!FTSHOTbyPurvisRodney
GOOD!3PTRbyKuanyKuany,18:32,51-49,-2,
ASSISTbyDalySam,18:32,,,
REBOUND(DEF)byKuanyKuany,18:17,,,MISSED3PTRbyPurvisRodney
MISSED3PTRbyKuanyKuany,18:08,,,REBOUND(DEF)byAdamsJalen
,17:59,51-51,0,GOOD!LAYUPbyAdamsJalen[PNT]
GOOD!3PTRbyShastriKiran,17:42,54-51,-3,
ASSISTbyKuanyKuany,17:42,,,
REBOUND(DEF)byPopeAustin,17:24,,,MISSED3PTRbyJacksonVance
MISSED3PTRbyShastriKiran,17:15,,,REBOUND(DEF)byPurvisRodney
,17:06,54-53,-1,GOOD!LAYUPbyJacksonVance[PNT]
,17:06,,,ASSISTbyPurvisRodney
MISSEDLAYUPbyGoodwinRohndell,16:49,,,BLOCKbyBrimahAmida
REBOUND(OFF)by(TEAM),16:49,,,
,16:49,,,SUBIN:VitalChristian
,16:49,,,SUBOUT:BrimahAmida
MISSED3PTRbyShastriKiran,16:46,,,REBOUND(DEF)byFaceyKentan
,16:38,54-55,1,GOOD!LAYUPbyPurvisRodney[FB/PNT]
,16:30,,,FOULbyVitalChristian(P2T1)
GOOD!LAYUPbyDalySam[PNT],16:26,56-55,-1,
,16:18,,,MISSEDLAYUPbyAdamsJalen
,16:18,,,REBOUND(OFF)byJacksonVance
FOULbyPopeAustin(P1T3),16:15,,,MISSEDFTSHOTbyJacksonVance
,16:15,,,REBOUND(OFF)by(DEADBALL)
,16:15,,,MISSEDFTSHOTbyJacksonVance
,16:15,,,REBOUND(OFF)byFaceyKentan
,15:51,56-57,1,GOOD!JUMPERbyPurvisRodney
MISSED3PTRbyGoodwinRohndell,15:31,,,REBOUND(DEF)byFaceyKentan
BLOCKbyPopeAustin,15:23,,,MISSEDJUMPERbyPurvisRodney
REBOUND(DEF)byGoodwinRohndell,15:19,,,
MISSEDLAYUPbyKuanyKuany,15:03,,,BLOCKbyPurvisRodney
,14:58,,,REBOUND(DEF)byPurvisRodney
,14:44,,,TIMEOUTmedia
