PLAYUC,TIME,SCORE,MAR,PLAYVisitor
REBOUND(DEF)byFaceyKentan,00:33,,,MISSEDFTSHOTbyCOLEMANDAJUAN
MISSED3PTRbyJacksonVance,00:12,,,REBOUND(DEF)byHOWARDFRANK
,00:07,,,TIMEOUT30sec
,00:00,21-23,-2,GOOD!LAYUPbyCOLEMANDAJUAN[PNT]
,00:00,,,ASSISTbyHOWARDFRANK
MISSEDLAYUPbyEnochSteven,19:50,,,BLOCKbyCOLEMANDAJUAN
REBOUND(OFF)byEnochSteven,19:49,,,
MISSEDLAYUPbyEnochSteven,19:48,,,
REBOUND(OFF)byEnochSteven,19:48,,,
MISSEDFTSHOTbyEnochSteven,19:48,,,FOULbyCOLEMANDAJUAN(P1T1)
REBOUND(OFF)by(DEADBALL),19:48,,,
MISSEDFTSHOTbyEnochSteven,19:48,,,REBOUND(DEF)byLYDONTYLER
,19:29,21-26,-5,GOOD!3PTRbyWHITEIIIANDREW
,19:29,,,ASSISTbyBATTLETYUS
GOOD!3PTRbyPurvisRodney,19:08,24-26,-2,
ASSISTbyEnochSteven,19:08,,,
,18:52,,,MISSEDD3(PTR)byyWHITEMIIIANDREW
,18:45,,,MISSEDJUMPERbyHOWARDFRANK
,18:45,,,REBOUND(OFF)byCOLEMANDAJUAN
BLOCKbyBrimahAmida,18:42,,,MISSEDLAYUPbyCOLEMANDAJUAN
,18:40,,,REBOUND(OFF)by(TEAM)
REBOUND(DEF)byPurvisRodney,18:33,,,MISSED3PTRbyHOWARDFRANK
MISSED3PTRbyAdamsJalen,18:07,,,REBOUND(DEF)by(TEAM)
,17:54,24-29,-5,GOOD!3PTRbyBATTLETYUS
,17:54,,,ASSISTbyWHITEIIIANDREW
MISSEDDUNKbyPurvisRodney,17:41,,,REBOUND(DEF)byHOWARDFRANK
,17:21,,,TURNOVRbyHOWARDFRANK
STEALbyVitalChristian,17:20,,,
TURNOVRbyAdamsJalen,17:19,,,
SUBIN:FaceyKentan,17:19,,,SUBIN:GILLONJOHN
SUBOUT:EnochSteven,17:19,,,SUBOUT:HOWARDFRANK
,17:07,,,MISSED3PTRbyLYDONTYLER
,17:07,,,REBOUND(OFF)byCOLEMANDAJUAN
,17:07,24-31,-7,GOOD!LAYUPbyCOLEMANDAJUAN[PNT]
FOULbyBrimahAmida(P2T1),17:07,,,MISSEDFTSHOTbyCOLEMANDAJUAN
REBOUND(DEF)byFaceyKentan,17:07,,,
MISSEDJUMPERbyVitalChristian,16:40,,,REBOUND(DEF)byLYDONTYLER
,16:35,,,FOULbyBATTLETYUS(P3T2)
,16:35,,,TURNOVRbyBATTLETYUS
SUBIN:DurhamJuwan,16:35,,,
SUBOUT:BrimahAmida,16:35,,,
,16:18,,,FOULbyGILLONJOHN(P1T3)
MISSEDJUMPERbyAdamsJalen,16:07,,,
REBOUND(OFF)byDurhamJuwan,16:07,,,
MISSED3PTRbyPurvisRodney,16:02,,,REBOUND(DEF)byCOLEMANDAJUAN
,15:54,,,FOULbyCOLEMANDAJUAN(P2T4)
,15:54,,,TURNOVRbyCOLEMANDAJUAN
TIMEOUTMEDIA,15:54,,,
MISSEDJUMPERbyAdamsJalen,15:24,,,REBOUND(DEF)byCOLEMANDAJUAN
REBOUND(DEF)byFaceyKentan,15:09,,,MISSED3PTRbyWHITEIIIANDREW
MISSED3PTRbyVitalChristian,14:47,,,REBOUND(DEF)byLYDONTYLER
BLOCKbyDurhamJuwan,14:36,,,MISSEDLAYUPbyLYDONTYLER
,14:34,,,REBOUND(OFF)byLYDONTYLER
REBOUND(DEF)by(TEAM),14:32,,,MISSED3PTRbyBATTLETYUS
,14:32,,,FOULbyLYDONTYLER(P2T5)
SUBIN:JacksonVance,14:32,,,
SUBOUT:VitalChristian,14:32,,,
GOOD!JUMPERbyFaceyKentan[PNT],14:12,26-31,-5,
ASSISTbyPurvisRodney,14:12,,,
FOULbyFaceyKentan(P2T2),13:44,26-32,-6,GOOD!FTSHOTbyCOLEMANDAJUAN
,13:44,26-33,-7,GOOD!FTSHOTbyCOLEMANDAJUAN
,13:44,,,SUBIN:HOWARDFRANK
,13:44,,,SUBIN:ROBERSONTYLER
,13:44,,,SUBOUT:GILLONJOHN
,13:44,,,SUBOUT:LYDONTYLER
FOULbyFaceyKentan(P3T3),13:22,26-34,-8,GOOD!FTSHOTbyWHITEIIIANDREW
,13:22,,,MISSEDFTSHOTbyWHITEIIIANDREW
,13:22,,,REBOUND(OFF)by(TEAM)
SUBIN:BrimahAmida,13:22,,,SUBIN:LYDONTYLER
SUBOUT:FaceyKentan,13:22,,,SUBOUT:COLEMANDAJUAN
MISSED3PTRbyJacksonVance,13:21,,,BLOCKbyCOLEMANDAJUAN
,13:20,,,REBOUND(DEF)byCOLEMANDAJUAN
,13:10,26-37,-11,GOOD!3PTRbyWHITEIIIANDREW
,13:10,,,ASSISTbyHOWARDFRANK
TIMEOUT30sec,13:09,,,
