PLAYUC,TIME,SCORE,MAR,PLAYVisitor
,09:39,,,SUBIN:MILLERJeremy
,09:39,,,SUBOUT:GREENAnthony
REBOUND(DEF)byAdamsJalen,09:17,,,MISSED3PTRbyMILLERJeremy
MISSEDLAYUPbyAdamsJalen,08:57,,,
REBOUND(OFF)byBrimahAmida,08:57,,,
TURNOVRbyBrimahAmida,08:55,,,
FOULbyJacksonVance(P1T2),08:43,,,
SUBIN:GilbertAlterique,08:43,,,
SUBOUT:JacksonVance,08:43,,,
REBOUND(DEF)byBrimahAmida,08:36,,,MISSED3PTRbyMILLERJeremy
MISSED3PTRbyPurvisRodney,08:15,,,REBOUND(DEF)by(TEAM)
FOULbyBrimahAmida(P3T3),08:15,,,
REBOUND(DEF)byBrimahAmida,08:01,,,MISSED3PTRbyMURPHYAlex
MISSEDJUMPERbyLarrierTerry,07:45,,,
REBOUND(OFF)byLarrierTerry,07:45,,,
TURNOVRbyLarrierTerry,07:42,,,
,07:40,,,STEALbyMURPHYAlex
REBOUND(DEF)byGilbertAlterique,07:29,,,MISSED3PTRbyBEGLEYDevon
MISSEDLAYUPbyLarrierTerry,07:22,,,REBOUND(DEF)byMURPHYAlex
,07:10,,,TURNOVRby(TEAM)
TIMEOUTmedia,07:10,,,
SUBIN:FaceyKentan,07:10,,,
SUBIN:JacksonVance,07:10,,,
SUBOUT:AdamsJalen,07:10,,,
SUBOUT:LarrierTerry,07:10,,,
GOOD!3PTRbyJacksonVance,06:48,52-53,1,
ASSISTbyPurvisRodney,06:48,,,
FOULbyPurvisRodney(P1T4),06:13,52-54,-2,GOOD!FTSHOTbyWILLIAMSTJ
,06:13,52-55,-3,GOOD!FTSHOTbyWILLIAMSTJ
SUBIN:LarrierTerry,06:13,,,SUBIN:GREENAnthony
SUBOUT:FaceyKentan,06:13,,,SUBOUT:MILLERJeremy
MISSED3PTRbyJacksonVance,05:53,,,REBOUND(DEF)byMURPHYAlex
,05:43,,,MISSEDLAYUPbyGREENAnthony
,05:43,,,REBOUND(OFF)byBEGLEYDevon
SUBIN:AdamsJalen,05:38,,,
SUBOUT:JacksonVance,05:38,,,
,05:36,52-57,-5,GOOD!JUMPERbyMURPHYAlex[PNT]
GOOD!JUMPERbyAdamsJalen,05:05,54-57,-3,
BLOCKbyBrimahAmida,04:50,,,MISSEDJUMPERbyGREENAnthony
,04:48,,,REBOUND(OFF)byGREENAnthony
,04:47,54-59,-5,GOOD!LAYUPbyGREENAnthony[PNT]
MISSED3PTRbyGilbertAlterique,04:27,,,REBOUND(DEF)byBEGLEYDevon
REBOUND(DEF)byGilbertAlterique,04:01,,,MISSED3PTRbyMURPHYAlex
TURNOVRbyGilbertAlterique,03:52,,,
,03:51,,,STEALbyWILLIAMSTJ
,03:49,54-61,-7,GOOD!DUNKbyMURPHYAlex[FB/PNT]
,03:48,,,ASSISTbyWILLIAMSTJ
TIMEOUT30sec,03:48,,,
GOOD!JUMPERbyLarrierTerry[PNT],03:29,56-61,-5,
ASSISTbyAdamsJalen,03:29,,,
,03:14,,,TURNOVRbyWILLIAMSTJ
STEALbyGilbertAlterique,03:13,,,
TIMEOUTmedia,03:10,,,
GOOD!3PTRbyGilbertAlterique,02:54,59-61,-2,
ASSISTbyPurvisRodney,02:54,,,
,02:16,59-64,-5,GOOD!3PTRbyGRESHAMDonnell
,02:16,,,ASSISTbyBEGLEYDevon
TURNOVRbyLarrierTerry,02:05,,,
,01:40,,,TURNOVRbyGRESHAMDonnell
TIMEOUT30sec,01:36,,,
SUBIN:JacksonVance,01:36,,,
SUBOUT:BrimahAmida,01:36,,,
GOOD!JUMPERbyLarrierTerry[PNT],01:15,61-64,-3,
,01:07,,,TURNOVRbyMURPHYAlex
,01:07,,,SUBIN:MILLERJeremy
MISSED3PTRbyLarrierTerry,00:57,,,REBOUND(DEF)byBEGLEYDevon
FOULbyPurvisRodney(P2T5),00:53,,,
FOULbyAdamsJalen(P1T6),00:51,,,
SUBIN:BrimahAmida,00:51,,,
SUBOUT:JacksonVance,00:51,,,
REBOUND(DEF)by(TEAM),00:29,,,MISSED3PTRbyBEGLEYDevon
,00:28,,,SUBOUT:MILLERJeremy
TIMEOUTTEAM,00:26,,,
SUBIN:JacksonVance,00:26,,,
SUBOUT:BrimahAmida,00:26,,,
MISSED3PTRbyLarrierTerry,00:11,,,REBOUND(DEF)by(TEAM)
,00:08,,,SUBIN:MILLERJeremy
,00:08,,,SUBOUT:GREENAnthony
STEALbyGilbertAlterique,00:00,,,TURNOVRbyMURPHYAlex
MISSED3PTRbyGilbertAlterique,00:00,REBOUND(DEF)byMURPHYAlex
