PLAYHome,TIME,SCORE,MAR,PLAYUC
,04:25,,,FOULbyFaceyKentan(P1T6)
MISSEDLAYUPbyAMAYOKelvin,04:17,,,REBOUND(DEF)by(TEAM)
,03:52,,,TURNOVRbyGilbertAlterique
STEALbyAMAYOKelvin,03:51,,,
,03:49,,,FOULbyFaceyKentan(P2T7)
TIMEOUTMEDIA,03:49,,,
GOOD!FTSHOTbyAMAYOKelvin,03:49,25-32,+7,
GOOD!FTSHOTbyAMAYOKelvin,03:49,26-32,+6,
,03:49,,,SUBIN:AdamsJalen
,03:49,,,SUBIN:BrimahAmida
,03:49,,,SUBOUT:FaceyKentan
,03:49,,,SUBOUT:GilbertAlterique
,03:26,,,TURNOVRbyAdamsJalen
,03:26,,,FOULbyAdamsJalen(P1T8)
MISSEDJUMPERbyTUTUMunis,02:59,,,
REBOUND(OFF)byTUACHBuay,02:59,,,
MISSEDTIP-INbyTUACHBuay,02:56,,,REBOUND(DEF)byPurvisRodney
,02:46,,,TURNOVRbyLarrierTerry
STEALbyAMAYOKelvin,02:45,,,
GOOD!DUNKbyTUACHBuay[FB/PNT],02:42,28-32,+4,
ASSISTbyAMAYOKelvin,02:42,,,
REBOUND(DEF)byJOHNSONShamar,02:13,,,MISSED3PTRbyAdamsJalen
GOOD!FTSHOTbyBROWNBrandon,01:51,29-32,+3,FOULbyVitalChristian(P2T9)
GOOD!FTSHOTbyBROWNBrandon,01:51,30-32,+2,
SUBIN:McCLENDONJeffery,01:51,,,SUBIN:JacksonVance
SUBOUT:BROWNBrandon,01:51,,,SUBIN:GilbertAlterique
,01:51,,,SUBOUT:PurvisRodney
,01:51,,,SUBOUT:VitalChristian
,01:24,30-34,+4,GOOD!DUNKbyBrimahAmida[PNT]
,01:24,,,ASSISTbyLarrierTerry
MISSEDFTSHOTbyAMAYOKelvin,01:02,,,FOULbyBrimahAmida(P1T10)
REBOUND(OFF)by(DEADBALL),01:02,,,
MISSEDFTSHOTbyAMAYOKelvin,01:02,,,REBOUND(DEF)byJacksonVance
,00:54,,,TURNOVRbyGilbertAlterique
STEALbyTUACHBuay,00:53,,,
MISSEDLAYUPbyAMAYOKelvin,00:51,,,
REBOUND(OFF)by(TEAM),00:51,,,
MISSEDFTSHOTbyMcCLENDONJeffery,00:49,,,FOULbyBrimahAmida(P2T11)
REBOUND(OFF)by(DEADBALL),00:49,,,
GOOD!FTSHOTbyMcCLENDONJeffery,00:49,31-34,+3,
,00:49,,,SUBIN:FaceyKentan
,00:49,,,SUBIN:PurvisRodney
,00:49,,,SUBOUT:BrimahAmida
,00:49,,,SUBOUT:GilbertAlterique
,00:43,,,TURNOVRbyAdamsJalen
STEALbyTUTUMunis,00:42,,,
GOOD!LAYUPbyAMAYOKelvin[PNT],00:38,33-34,+1,
ASSISTbyTUTUMunis,00:38,,,
GOOD!FTSHOTbyAMAYOKelvin,00:38,34-34,-0,FOULbyJacksonVance(P1T12)
,00:33,,,TIMEOUT30sec
,00:08,,,TURNOVRbyAdamsJalen
STEALbyTUACHBuay,00:06,,,
SUBIN:AMAYOKelvin,20:00,,,SUBIN:VitalChristian
SUBOUT:JOVANOVICStefan,20:00,,,SUBOUT:GilbertAlterique
REBOUND(DEF)byAMAYOKelvin,19:36,,,MISSEDJUMPERbyLarrierTerry
MISSEDJUMPERbyJOHNSONShamar,19:13,,,REBOUND(DEF)byVitalChristian
,19:02,34-36,+2,GOOD!LAYUPbyLarrierTerry[PNT]
,19:02,,,ASSISTbyPurvisRodney
GOOD!3PTRbyTUACHBuay,18:34,37-36,-1,
REBOUND(DEF)byHANEYSteven,18:21,,,MISSED3PTRbyVitalChristian
MISSED3PTRbyBROWNBrandon,18:11,,,
REBOUND(OFF)byTUACHBuay,18:11,,,
GOOD!FTSHOTbyTUACHBuay,18:07,38-36,-2,FOULbyVitalChristian(P3T1)
MISSEDFTSHOTbyTUACHBuay,18:07,,,REBOUND(DEF)byBrimahAmida
,17:52,,,MISSED3PTRbyVitalChristian
,17:52,,,REBOUND(OFF)byBrimahAmida
,17:36,,,MISSEDJUMPERbyPurvisRodney
,17:36,,,REBOUND(OFF)by(TEAM)
,17:32,,,SUBIN:JacksonVance
,17:32,,,SUBOUT:VitalChristian
,17:16,,,TURNOVRbyLarrierTerry
STEALbyAMAYOKelvin,17:15,,,
MISSEDDUNKbyTUACHBuay,17:11,,,
REBOUND(OFF)byBROWNBrandon,17:11,,,
GOOD!LAYUPbyAMAYOKelvin[PNT],17:03,40-36,-4,
,16:38,,,MISSEDJUMPERbyLarrierTerry
,16:38,,,REBOUND(OFF)byBrimahAmida
,16:24,,,MISSED3PTRbyJacksonVance
,16:24,,,REBOUND(OFF)byBrimahAmida
FOULbyJOHNSONShamar(P2T1),16:21,,,
REBOUND(DEF)byAMAYOKelvin,16:09,,,MISSEDJUMPERbyJacksonVance
GOOD!FTSHOTbyAMAYOKelvin,16:06,41-36,-5,FOULbyPurvisRodney(P2T2)
GOOD!FTSHOTbyAMAYOKelvin,16:06,42-36,-6,
SUBIN:McCLENDONJeffery,16:06,,,
SUBOUT:HANEYSteven,16:06,,,
,15:59,,,TURNOVRbyAdamsJalen
STEALbyBROWNBrandon,15:58,,,
MISSEDLAYUPbyTUACHBuay,15:51,,,BLOCKbyBrimahAmida
,15:50,,,REBOUND(DEF)byBrimahAmida
,15:46,,,TIMEOUTMEDIA
,15:33,42-38,-4,GOOD!LAYUPbyAdamsJalen[PNT]
GOOD!LAYUPbyJOHNSONShamar[PNT],14:39,44-38,-6,
ASSISTbyAMAYOKelvin,14:39,,,
,14:24,44-40,-4,GOOD!DUNKbyBrimahAmida[PNT]
,14:24,,,ASSISTbyAdamsJalen
TURNOVRbyBROWNBrandon,14:00,,,
FOULbyBROWNBrandon(P3T2),14:00,,,
SUBIN:HANEYSteven,14:00,,,
SUBOUT:McCLENDONJeffery,14:00,,,
REBOUND(DEF)byAMAYOKelvin,13:46,,,MISSED3PTRbyPurvisRodney
MISSED3PTRbyBROWNBrandon,13:29,,,REBOUND(DEF)byPurvisRodney
,13:22,44-42,-2,GOOD!LAYUPbyPurvisRodney[FB/PNT]
,13:15,,,FOULbyJacksonVance(P2T3)
TIMEOUT30sec,13:15,,,
SUBIN:TUTUMunis,13:15,,,SUBIN:VitalChristian
SUBOUT:BROWNBrandon,13:15,,,SUBIN:FaceyKentan
,13:15,,,SUBOUT:BrimahAmida
,13:15,,,SUBOUT:JacksonVance
TURNOVRbyTUTUMunis,13:04,,,
,13:03,,,STEALbyVitalChristian
BLOCKbyTUTUMunis,13:00,,,MISSEDLAYUPbyVitalChristian
REBOUND(DEF)byAMAYOKelvin,12:58,,,
GOOD!3PTRbyTUTUMunis[FB],12:54,47-42,-5,
ASSISTbyJOHNSONShamar,12:54,,,
,12:30,47-44,-3,GOOD!DUNKbyFaceyKentan[PNT]
,12:30,,,ASSISTbyLarrierTerry
GOOD!3PTRbyTUACHBuay,12:06,50-44,-6,
ASSISTbyJOHNSONShamar,12:06,,,
,11:46,,,MISSED3PTRbyPurvisRodney
,11:46,,,REBOUND(OFF)byLarrierTerry
REBOUND(DEF)byTUTUMunis,11:41,,,MISSEDLAYUPbyLarrierTerry
MISSEDLAYUPbyJOHNSONShamar,11:10,,,REBOUND(DEF)byAdamsJalen
,10:58,50-47,-3,GOOD!3PTRbyVitalChristian
,10:58,,,ASSISTbyPurvisRodney
GOOD!LAYUPbyJOHNSONShamar[PNT],10:39,52-47,-5,
ASSISTbyTUTUMunis,10:39,,,
,10:19,52-50,-2,GOOD!3PTRbyAdamsJalen
,10:19,,,ASSISTbyPurvisRodney
GOOD!LAYUPbyAMAYOKelvin[PNT],10:01,54-50,-4,
ASSISTbyTUTUMunis,10:01,,,
FOULbyHANEYSteven(P3T3),09:44,,,
,09:44,,,TIMEOUTmedia
,09:44,,,MISSEDFTSHOTbyFaceyKentan
,09:44,,,REBOUND(OFF)by(DEADBALL)
,09:44,54-51,-3,GOOD!FTSHOTbyFaceyKentan
SUBIN:McCLENDONJeffery,09:44,,,SUBIN:BrimahAmida
SUBIN:MARKUSSONMattias,09:44,,,SUBOUT:LarrierTerry
SUBIN:BROWNBrandon,09:44,,,
SUBOUT:TUTUMunis,09:44,,,
SUBOUT:AMAYOKelvin,09:44,,,
SUBOUT:TUACHBuay,09:44,,,
MISSED3PTRbyMcCLENDONJeffery,09:26,,,REBOUND(DEF)byPurvisRodney
,09:05,,,MISSED3PTRbyPurvisRodney
,09:05,,,REBOUND(OFF)byFaceyKentan
FOULbyJOHNSONShamar(P3T4),09:00,54-52,-2,GOOD!FTSHOTbyFaceyKentan
,09:00,54-53,-1,GOOD!FTSHOTbyFaceyKentan
SUBIN:AMAYOKelvin,09:00,,,SUBIN:LarrierTerry
SUBOUT:JOHNSONShamar,09:00,,,SUBOUT:PurvisRodney
MISSED3PTRbyBROWNBrandon,08:25,,,REBOUND(DEF)byLarrierTerry
REBOUND(DEF)byHANEYSteven,08:20,,,MISSED3PTRbyVitalChristian
MISSEDLAYUPbyAMAYOKelvin,08:08,,,REBOUND(DEF)byFaceyKentan
FOULbyHANEYSteven(P4T5),08:01,54-54,-0,GOOD!FTSHOTbyLarrierTerry
REBOUND(DEF)byTUTUMunis,08:01,,,MISSEDFTSHOTbyLarrierTerry
SUBIN:TUACHBuay,08:01,,,
SUBIN:TUTUMunis,08:01,,,
SUBIN:JOHNSONShamar,08:01,,,
SUBOUT:HANEYSteven,08:01,,,
SUBOUT:AMAYOKelvin,08:01,,,
SUBOUT:MARKUSSONMattias,08:01,,,
TURNOVRbyTUTUMunis,07:47,,,
,07:46,,,STEALbyBrimahAmida
FOULbyMcCLENDONJeffery(P2T6),07:46,,,
,07:46,,,TIMEOUTMEDIA
,07:26,,,MISSED3PTRbyVitalChristian
,07:26,,,REBOUND(OFF)byFaceyKentan
,07:07,,,TURNOVRbyAdamsJalen
STEALbyJOHNSONShamar,07:05,,,
TURNOVRbyTUTUMunis,06:42,,,
SUBIN:HANEYSteven,06:42,,,
SUBIN:AMAYOKelvin,06:42,,,
SUBOUT:McCLENDONJeffery,06:42,,,
SUBOUT:TUTUMunis,06:42,,,
REBOUND(DEF)byAMAYOKelvin,06:27,,,MISSEDJUMPERbyAdamsJalen
,06:23,,,FOULbyFaceyKentan(P3T4)
MISSEDLAYUPbyJOHNSONShamar,06:09,,,REBOUND(DEF)byLarrierTerry
,06:02,54-56,+2,GOOD!LAYUPbyAdamsJalen[PNT]
