PLAYUC,TIME,SCORE,MAR,PLAYVisitor
,13:43,37-46,-9,GOOD!FTSHOTbyLIGGEONSDevin
SUBIN:LarrierTerry,13:43,,,
SUBOUT:JacksonVance,13:43,,,
,13:28,,,FOULbyCOOPERJoJo(P3T2)
TURNOVRbyPurvisRodney,13:21,,,
,13:20,,,STEALbyLIGGEONSDevin
,13:08,37-49,-12,GOOD!3PTRbySAUNDERSRomone
,13:08,,,ASSISTbyCOOPERJoJo
TIMEOUT30sec,13:00,,,
SUBIN:VitalChristian,13:00,,,SUBIN:CAREYMichael
SUBOUT:PurvisRodney,13:00,,,SUBOUT:COOPERJoJo
TURNOVRbyLarrierTerry,12:50,,,
,12:49,,,STEALbyCAREYMichael
,12:36,,,TURNOVRbyLIGGEONSDevin
STEALbyGilbertAlterique,12:35,,,
GOOD!LAYUPbyGilbertAlterique[FB/PNT],12:33,39-49,-10,
,12:10,,,TURNOVRbySAUNDERSRomone
,11:48,,,FOULbyHENSONCorey(P3T3)
TIMEOUTmedia,11:48,,,
MISSEDFTSHOTbyGilbertAlterique,11:48,,,
REBOUND(OFF)by(DEADBALL),11:48,,,
GOOD!FTSHOTbyGilbertAlterique,11:48,40-49,-9,
GOOD!FTSHOTbyGilbertAlterique,11:48,41-49,-8,
,11:48,,,SUBIN:COOPERJoJo
,11:48,,,SUBOUT:HENSONCorey
REBOUND(DEF)byAdamsJalen,11:28,,,MISSEDLAYUPbySUMBRYAJ
TURNOVRbyAdamsJalen,11:23,,,
,11:21,,,STEALbyCOOPERJoJo
REBOUND(DEF)byLarrierTerry,11:19,,,MISSEDLAYUPbyLIGGEONSDevin
GOOD!LAYUPbyGilbertAlterique[FB/PNT],11:13,43-49,-6,
ASSISTbyLarrierTerry,11:13,,,
,11:12,,,SUBIN:HENSONCorey
,11:12,,,SUBIN:AAMANMike
,11:12,,,SUBOUT:SAUNDERSRomone
,11:12,,,SUBOUT:SUMBRYAJ
,10:45,,,TURNOVRbyCAREYMichael
SUBIN:PurvisRodney,10:45,,,SUBIN:SALMONMarquis
SUBOUT:VitalChristian,10:45,,,SUBOUT:LIGGEONSDevin
MISSEDJUMPERbyAdamsJalen,10:26,,,REBOUND(DEF)byCOOPERJoJo
REBOUND(DEF)byBrimahAmida,10:01,,,MISSEDJUMPERbySALMONMarquis
,9:51,,,FOULbyAAMANMike(P1T4)
MISSED3PTRbyPurvisRodney,9:45,,,REBOUND(DEF)byCOOPERJoJo
,9:29,,,TURNOVRbyHENSONCorey
GOOD!3PTRbyLarrierTerry,9:16,46-49,-3,
ASSISTbyAdamsJalen,9:16,,,
BLOCKbyBrimahAmida,8:45,,,MISSEDLAYUPbySALMONMarquis
,8:43,,,REBOUND(OFF)by(TEAM)
,8:41,,,MISSED3PTRbyCOOPERJoJo
,8:41,,,REBOUND(OFF)by(DEADBALL)
,8:39,,,TURNOVRby(TEAM)
,8:38,,,SUBIN:LIGGEONSDevin
,8:38,,,SUBOUT:SALMONMarquis
,8:25,,,FOULbyLIGGEONSDevin(P1T5)
MISSEDJUMPERbyBrimahAmida,8:07,,,REBOUND(DEF)byCAREYMichael
,7:45,,,TURNOVRbyLIGGEONSDevin
TIMEOUTmedia,7:44,,,
GOOD!JUMPERbyPurvisRodney[PNT],7:28,48-49,-1,
REBOUND(DEF)byLarrierTerry,7:01,,,MISSED3PTRbyLIGGEONSDevin
GOOD!FTSHOTbyLarrierTerry,6:46,49-49,0,FOULbyCAREYMichael(P1T6)
MISSEDFTSHOTbyLarrierTerry,6:46,,,REBOUND(DEF)byAAMANMike
SUBIN:FaceyKentan,6:46,,,SUBIN:SALMONMarquis
SUBOUT:BrimahAmida,6:46,,,SUBOUT:LIGGEONSDevin
,6:19,49-52,-3,GOOD!3PTRbySALMONMarquis
,6:19,,,ASSISTbyHENSONCorey
GOOD!JUMPERbyLarrierTerry,6:02,51-52,-1,
ASSISTbyAdamsJalen,6:02,,,
,5:36,,,MISSED3PTRbyCOOPERJoJo
,5:36,,,REBOUND(OFF)bySALMONMarquis
FOULbyPurvisRodney(P3T6),5:34,,,MISSEDFTSHOTbySALMONMarquis
,5:34,,,REBOUND(OFF)by(DEADBALL)
,5:34,51-53,-2,GOOD!FTSHOTbySALMONMarquis
,5:34,,,SUBIN:SUMBRYAJ
,5:34,,,SUBOUT:AAMANMike
MISSEDLAYUPbyPurvisRodney,5:21,,,BLOCKbySUMBRYAJ
,5:20,,,REBOUND(DEF)byHENSONCorey
REBOUND(DEF)byGilbertAlterique,5:00,,,MISSED3PTRbyCAREYMichael
MISSEDFTSHOTbyFaceyKentan,4:53,,,FOULbySUMBRYAJ(P2T7)
,4:53,,,REBOUND(DEF)byCAREYMichael
REBOUND(DEF)byLarrierTerry,4:31,,,MISSEDJUMPERbySUMBRYAJ
MISSED3PTRbyPurvisRodney,4:22,,,REBOUND(DEF)byCOOPERJoJo
,4:16,51-55,-4,GOOD!LAYUPbyCAREYMichael[FB/PNT]
,4:16,,,ASSISTbySALMONMarquis
MISSED3PTRbyLarrierTerry,3:55,,,
REBOUND(OFF)byFaceyKentan,3:55,,,
TIMEOUTmedia,3:53,,,
SUBIN:BrimahAmida,3:53,,,
SUBOUT:FaceyKentan,3:53,,,
,3:39,,,FOULbySALMONMarquis(P2T8)
GOOD!FTSHOTbyLarrierTerry,3:38,52-55,-3,
GOOD!FTSHOTbyLarrierTerry,3:38,53-55,-2,
,3:38,,,SUBIN:AAMANMike
,3:38,,,SUBOUT:SUMBRYAJ
,3:14,53-58,-5,GOOD!3PTRbyHENSONCorey
,3:14,,,ASSISTbyAAMANMike
MISSEDJUMPERbyAdamsJalen,2:57,,,
REBOUND(OFF)byGilbertAlterique,2:57,,,
MISSEDLAYUPbyAdamsJalen,2:48,,,BLOCKbySALMONMarquis
,2:46,,,REBOUND(DEF)bySALMONMarquis
REBOUND(DEF)byBrimahAmida,2:19,,,MISSEDLAYUPbyAAMANMike
TURNOVRbyPurvisRodney,2:12,,,
,1:43,,,MISSEDJUMPERbyCOOPERJoJo
,1:43,,,REBOUND(OFF)byCAREYMichael
FOULbyBrimahAmida(P3T7),1:38,53-59,-6,GOOD!FTSHOTbyAAMANMike
,1:38,53-60,-7,GOOD!FTSHOTbyAAMANMike
MISSEDJUMPERbyGilbertAlterique,1:23,,,REBOUND(DEF)by(TEAM)
FOULbyBrimahAmida(P4T8),0:59,53-61,-8,GOOD!FTSHOTbyAAMANMike
,0:59,53-62,-9,GOOD!FTSHOTbyAAMANMike
SUBIN:VitalChristian,0:59,,,
SUBOUT:BrimahAmida,0:59,,,
GOOD!3PTRbyLarrierTerry[FB],0:53,56-62,-6,
ASSISTbyAdamsJalen,0:53,,,
TIMEOUT30sec,0:53,,,
,0:53,,,SUBIN:LIGGEONSDevin
,0:53,,,SUBOUT:SALMONMarquis
,0:44,56-64,-8,GOOD!LAYUPbyAAMANMike[FB/PNT]
,0:44,,,ASSISTbyCAREYMichael
FOULbyAdamsJalen(P1T9),0:44,,,
REBOUND(DEF)byVitalChristian,0:43,,,MISSEDFTSHOTbyAAMANMike
MISSEDLAYUPbyVitalChristian,0:37,,,REBOUND(DEF)byAAMANMike
FOULbyAdamsJalen(P2T10),0:34,,,MISSEDFTSHOTbyCOOPERJoJo
,0:34,,,REBOUND(OFF)by(DEADBALL)
,0:34,56-65,-9,GOOD!FTSHOTbyCOOPERJoJo
,0:34,,,SUBIN:SALMONMarquis
,0:34,,,SUBOUT:AAMANMike
GOOD!LAYUPbyAdamsJalen[FB/PNT],0:28,58-65,-7,
FOULbyVitalChristian(P2T11),0:25,,,MISSEDFTSHOTbyCAREYMichael
,0:25,,,REBOUND(OFF)by(DEADBALL)
REBOUND(DEF)byLarrierTerry,0:25,,,MISSEDFTSHOTbyCAREYMichael
MISSED3PTRbyPurvisRodney,0:17,,,REBOUND(DEF)byCAREYMichael
FOULbyAdamsJalen(P3T12),0:15,58-66,-8,GOOD!FTSHOTbyCAREYMichael
,0:15,58-67,-9,GOOD!FTSHOTbyCAREYMichael
MISSEDJUMPERbyAdamsJalen,0:09,,,REBOUND(DEF)bySALMONMarquis
