PLAYUC,TIME,SCORE,MAR,PLAYVisitor
REBOUND(DEF)byAdamsJalen,18:50,,,MISSEDJUMPERbyFOREMANKyle
TURNOVRbyVitalChristian,18:40,,,
,18:39,,,STEALbyFOREMANKyle
,18:29,23-21,2,GOOD!JUMPERbyHAVENERNick
,18:29,,,ASSISTbyBARNESDestin
TURNOVRbyEnochSteven,18:12,,,
,18:11,,,STEALbyFOREMANKyle
FOULbyVitalChristian(P1T1),18:11,,,
SUBIN:JacksonVance,18:11,,,
SUBOUT:BrimahAmida,18:11,,,
REBOUND(DEF)by(TEAM),18:04,,,MISSEDJUMPERbyHAVENERNick
,18:04,,,FOULbyALSTONJustin(P2T2)
,17:52,,,FOULbyBARNESDestin(P2T3)
GOOD!JUMPERbyEnochSteven[PNT],17:39,25-21,4,
,17:21,,,TURNOVRbyFOREMANKyle
STEALbyVitalChristian,17:20,,,
GOOD!LAYUPbyAdamsJalen[FB/PNT],17:19,27-21,6,
ASSISTbyPurvisRodney,17:19,,,
,17:00,,,TURNOVRbyALSTONJustin
,17:00,,,SUBIN:FANNINGEric
,17:00,,,SUBOUT:BARNESDestin
MISSEDJUMPERbyAdamsJalen,16:37,,,REBOUND(DEF)byALSTONJustin
FOULbyEnochSteven(P1T2),16:36,,,
REBOUND(DEF)byAdamsJalen,16:11,,,MISSEDJUMPERbyALSTONJustin
MISSED3PTRbyPurvisRodney,16:00,,,REBOUND(DEF)byFANNINGEric
REBOUND(DEF)byJacksonVance,15:41,,,MISSED3PTRbyHANKERSONCedric
MISSEDLAYUPbyAdamsJalen,15:33,,,REBOUND(DEF)byHAVENERNick
BLOCKbyEnochSteven,15:24,,,MISSEDLAYUPbyALSTONJustin
REBOUND(DEF)by(TEAM),15:23,,,
TIMEOUTMEDIA,15:22,,,
SUBIN:BrimahAmida,15:22,,,SUBIN:MBARGORBABlaise
SUBIN:FaceyKentan,15:22,,,SUBIN:MOSELYCheddi
SUBOUT:EnochSteven,15:22,,,SUBIN:SCANLONTyler
SUBOUT:AdamsJalen,15:22,,,SUBOUT:ALSTONJustin
,15:22,,,SUBOUT:HANKERSONCedric
,15:22,,,SUBOUT:HAVENERNick
MISSED3PTRbyJacksonVance,14:52,,,REBOUND(DEF)byFANNINGEric
FOULbyVitalChristian(P2T3),14:46,27-22,5,GOOD!FTSHOTbyFANNINGEric
,14:46,27-23,4,GOOD!FTSHOTbyFANNINGEric
GOOD!JUMPERbyFaceyKentan[PNT],14:26,29-23,6,
ASSISTbyPurvisRodney,14:26,,,
REBOUND(DEF)byPurvisRodney,14:01,,,MISSED3PTRbySCANLONTyler
MISSEDJUMPERbyFaceyKentan,13:48,,,REBOUND(DEF)byMOSELYCheddi
FOULbyVitalChristian(P3T4),13:43,,,
SUBIN:AdamsJalen,13:43,,,
SUBOUT:VitalChristian,13:43,,,
,13:31,29-26,3,GOOD!3PTRbySCANLONTyler
,13:31,,,ASSISTbyFOREMANKyle
TURNOVRbyAdamsJalen,13:13,,,
SUBIN:DurhamJuwan,13:13,,,
SUBOUT:FaceyKentan,13:13,,,
REBOUND(DEF)byPurvisRodney,13:01,,,MISSED3PTRbyMOSELYCheddi
MISSEDFTSHOTbyBrimahAmida,12:54,,,FOULbyMBARGORBABlaise(P1T4)
REBOUND(OFF)by(DEADBALL),12:54,,,
MISSEDFTSHOTbyBrimahAmida,12:54,,,REBOUND(DEF)byFANNINGEric
,12:54,,,SUBIN:JOHNSONEric
,12:54,,,SUBOUT:FOREMANKyle
BLOCKbyDurhamJuwan,12:37,,,MISSEDLAYUPbyMBARGORBABlaise
REBOUND(DEF)byPurvisRodney,12:35,,,
MISSEDJUMPERbyPurvisRodney,12:27,,,
REBOUND(OFF)by(TEAM),12:27,,,
,12:26,,,FOULbyMBARGORBABlaise(P2T5)
SUBIN:EnochSteven,12:26,,,
SUBOUT:BrimahAmida,12:26,,,
TURNOVRbyAdamsJalen,12:14,,,
REBOUND(DEF)byAdamsJalen,11:58,,,MISSED3PTRbySCANLONTyler
TURNOVRbyAdamsJalen,11:52,,,
,11:51,,,STEALbyFANNINGEric
REBOUND(DEF)byEnochSteven,11:44,,,MISSEDJUMPERbyJOHNSONEric
MISSEDJUMPERbyDurhamJuwan,11:28,,,REBOUND(DEF)byFANNINGEric
,11:21,,,TURNOVRbyFANNINGEric
TIMEOUTmedia,11:20,,,
SUBIN:VitalChristian,11:20,,,
SUBOUT:DurhamJuwan,11:20,,,
TURNOVRbyEnochSteven,10:56,,,
,10:55,,,STEALbySCANLONTyler
REBOUND(DEF)byEnochSteven,10:50,,,MISSEDLAYUPbyFANNINGEric
GOOD!3PTRbyVitalChristian,10:42,32-26,6,
ASSISTbyAdamsJalen,10:42,,,
,10:13,32-28,4,GOOD!JUMPERbyJOHNSONEric
MISSED3PTRbyJacksonVance,10:06,,,REBOUND(DEF)byJOHNSONEric
,09:51,,,MISSED3PTRbySCANLONTyler
,09:51,,,REBOUND(OFF)byMOSELYCheddi
FOULbyEnochSteven(P2T5),09:50,,,
,09:50,,,SUBIN:ALSTONJustin
,09:50,,,SUBOUT:MBARGORBABlaise
,09:47,32-30,2,GOOD!LAYUPbyFANNINGEric[PNT]
FOULbyEnochSteven(P3T6),09:47,32-31,1,GOOD!FTSHOTbyFANNINGEric
SUBIN:BrimahAmida,09:47,,,
SUBOUT:EnochSteven,09:47,,,
GOOD!3PTRbyVitalChristian,09:27,35-31,4,
ASSISTbyAdamsJalen,09:27,,,
,09:00,,,TURNOVRbyJOHNSONEric
MISSEDJUMPERbyBrimahAmida,08:35,,,REBOUND(DEF)byALSTONJustin
REBOUND(DEF)byPurvisRodney,08:18,,,MISSEDJUMPERbyALSTONJustin
MISSEDJUMPERbyAdamsJalen,08:04,,,REBOUND(DEF)byFANNINGEric
,07:58,35-33,2,GOOD!LAYUPbyFANNINGEric[FB/PNT]
GOOD!3PTRbyPurvisRodney,07:49,38-33,5,
ASSISTbyAdamsJalen,07:49,,,
,07:25,,,TURNOVRbyFANNINGEric
TIMEOUTmedia,07:25,,,
SUBIN:FaceyKentan,07:25,,,SUBIN:FOREMANKyle
SUBOUT:JacksonVance,07:25,,,SUBIN:HAVENERNick
,07:25,,,SUBIN:HANKERSONCedric
,07:25,,,SUBOUT:SCANLONTyler
,07:25,,,SUBOUT:FANNINGEric
,07:25,,,SUBOUT:JOHNSONEric
TURNOVRbyVitalChristian,07:04,,,
,07:02,,,STEALbyFOREMANKyle
FOULbyAdamsJalen(P1T7),07:00,38-34,4,GOOD!FTSHOTbyMOSELYCheddi
REBOUND(DEF)byFaceyKentan,07:00,,,MISSEDFTSHOTbyMOSELYCheddi
MISSED3PTRbyVitalChristian,06:36,,,REBOUND(DEF)by(TEAM)
FOULbyBrimahAmida(P1T8),06:35,,,MISSEDFTSHOTbyALSTONJustin
REBOUND(DEF)byVitalChristian,06:35,,,
