PLAYHome,TIME,SCORE,MAR,PLAYUC
FOULbyTateJae'Sean(P2T1),18:19,,,
,18:08,,,MISSEDJUMPERbyAdamsJalen
,18:08,,,REBOUND(OFF)byFaceyKentan
,18:03,34-40,-6,GOOD!DUNKbyFaceyKentan[PNT]
,17:44,,,FOULbyVitalChristian(P2T2)
MISSED3PTRbyWilliamsKam,17:33,,,
REBOUND(OFF)byPotterMicah,17:33,,,
TURNOVRbyPotterMicah,17:28,,,
,17:27,,,STEALbyVitalChristian
,17:26,34-42,-8,GOOD!DUNKbyPurvisRodney[FB/PNT]
,17:26,,,ASSISTbyVitalChristian
GOOD!LAYUPbyLyleJaQuan[PNT],16:53,36-42,-6,
REBOUND(DEF)by(TEAM),16:31,,,MISSED3PTRbyVitalChristian
SUBIN:ThompsonTrevor,16:28,,,SUBIN:JacksonVance
SUBOUT:PotterMicah,16:28,,,SUBOUT:VitalChristian
GOOD!LAYUPbyTateJae'Sean[PNT],16:17,38-42,-4,
,15:59,,,TURNOVRbyJacksonVance
TIMEOUTmedia,15:59,,,
MISSEDLAYUPbyLyleJaQuan,15:35,,,
REBOUND(OFF)byLyleJaQuan,15:35,,,
,15:33,,,FOULbyFaceyKentan(P3T3)
MISSED3PTRbyLovingMarc,15:26,,,
REBOUND(OFF)byThompsonTrevor,15:26,,,
,15:24,,,FOULbyFaceyKentan(P4T4)
,15:24,,,SUBIN:VitalChristian
,15:24,,,SUBOUT:FaceyKentan
MISSED3PTRbyWilliamsKam,15:22,,,REBOUND(DEF)byPurvisRodney
REBOUND(DEF)byThompsonTrevor,14:54,,,MISSED3PTRbyAdamsJalen
GOOD!JUMPERbyLyleJaQuan[PNT],14:29,40-42,-2,
,13:57,40-45,-5,GOOD!3PTRbyJacksonVance
TURNOVRbyWilliamsKam,13:35,,,
REBOUND(DEF)byThompsonTrevor,13:13,,,MISSED3PTRbyJacksonVance
GOOD!JUMPERbyThompsonTrevor[PNT],12:50,42-45,-3,
SUBIN:Bates-DiopKeita,12:30,,,SUBIN:BrimahAmida
SUBOUT:WilliamsKam,12:30,,,SUBOUT:EnochSteven
,12:20,,,MISSEDJUMPERbyPurvisRodney
,12:20,,,REBOUND(OFF)byBrimahAmida
,12:16,42-47,-5,GOOD!TIP-INbyBrimahAmida[PNT]
,12:03,,,FOULbyAdamsJalen(P2T5)
,11:45,,,FOULbyPurvisRodney(P2T6)
TIMEOUTMEDIA,11:45,,,
MISSEDJUMPERbyThompsonTrevor,11:43,,,REBOUND(DEF)by(TEAM)
,11:26,,,TURNOVRbyPurvisRodney
MISSEDJUMPERbyTateJae'Sean,11:19,,,
REBOUND(OFF)byLovingMarc,11:19,,,
MISSEDFTSHOTbyBates-DiopKeita,11:08,,,FOULbyVitalChristian(P3T7)
REBOUND(OFF)by(DEADBALL),11:08,,,
GOOD!FTSHOTbyBates-DiopKeita,11:08,43-47,-4,
SUBIN:WilliamsKam,11:08,,,
SUBOUT:LovingMarc,11:08,,,
REBOUND(DEF)byLyleJaQuan,10:49,,,MISSED3PTRbyVitalChristian
MISSEDJUMPERbyLyleJaQuan,10:41,,,
REBOUND(OFF)byThompsonTrevor,10:41,,,
GOOD!FTSHOTbyThompsonTrevor,10:39,44-47,-3,FOULbyBrimahAmida(P4T8)
GOOD!FTSHOTbyThompsonTrevor,10:39,45-47,-2,
,10:39,,,SUBIN:EnochSteven
,10:39,,,SUBOUT:BrimahAmida
REBOUND(DEF)byThompsonTrevor,10:13,,,MISSEDJUMPERbyPurvisRodney
GOOD!DUNKbyBates-DiopKeita[PNT],10:01,47-47,0,
ASSISTbyThompsonTrevor,10:01,,,
,09:59,,,TIMEOUT30sec
