PLAYHome,TIME,SCORE,MAR,PLAYUC
,17:33,,,,28-42,-14,GOOD!LAYUPbyDorseyTyler[FB/PNT]
,17:33,,,ASSISTbyPritchardPayton
TURNOVRbyPurvisRodney,17:25,,,
SUBIN:VitalChristian,17:22,,,
SUBOUT:FaceyKentan,17:22,,,
,17:09,,,,28-45,-17,GOOD!3PTRbyBoucherChris
,17:09,,,ASSISTbyEnnisDylan
GOOD!DUNKbyBrimahAmida[PNT],16:39,30-45,-15,
ASSISTbyVitalChristian,16:39,,,
,16:20,,,TURNOVRbyBellJordan
STEALbyAdamsJalen,16:17,,,
GOOD!LAYUPbyAdamsJalen[PNT],16:12,32-45,-13,
,15:52,,,,32-47,-15,GOOD!LAYUPbyDorseyTyler[PNT]
TIMEOUTmedia,15:31,,,
SUBIN:DurhamJuwan,15:31,,,SUBIN:BrooksDillon
SUBOUT:JacksonVance,15:31,,,SUBIN:BensonCasey
,15:31,,,SUBOUT:BellJordan
,15:31,,,SUBOUT:PritchardPayton
GOOD!JUMPERbyAdamsJalen,15:25,34-47,-13,
,14:59,,,,34-50,-16,GOOD!3PTRbyBoucherChris
,14:59,,,ASSISTbyEnnisDylan
MISSED3PTRbyVitalChristian,14:40,,,
REBOUND(OFF)byBrimahAmida,14:40,,,
TURNOVRbyVitalChristian,14:34,,,
SUBIN:JacksonVance,14:33,,,
SUBOUT:VitalChristian,14:33,,,
,14:19,,,,34-53,-19,GOOD!3PTRbyBoucherChris
,14:19,,,ASSISTbyBrooksDillon
TIMEOUT30sec,14:17,,,
SUBIN:FaceyKentan,14:17,,,
SUBOUT:BrimahAmida,14:17,,,
GOOD!JUMPERbyAdamsJalen[PNT],14:01,36-53,-17,
,13:50,,,TURNOVRbyBoucherChris
STEALbyAdamsJalen,13:47,,,
GOOD!DUNKbyAdamsJalen[FB/PNT],13:46,38-53,-15,
FOULbyJacksonVance(P2T2),13:22,,,
,13:07,,,TURNOVRbyBensonCasey
STEALbyDurhamJuwan,13:06,,,
GOOD!LAYUPbyPurvisRodney[FB/PNT],12:56,40-53,-13,
ASSISTbyDurhamJuwan,12:56,,,
,12:52,,,TIMEOUT30sec
,12:49,,,,40-55,-15,GOOD!LAYUPbyBrooksDillon[PNT]
TURNOVRbyPurvisRodney,12:36,,,
SUBIN:BrimahAmida,12:36,,,SUBIN:PritchardPayton
SUBOUT:DurhamJuwan,12:36,,,SUBIN:BellJordan
,12:36,,,SUBOUT:BoucherChris
,12:36,,,SUBOUT:DorseyTyler
FOULbyFaceyKentan(P2T3),12:20,,,
SUBIN:VitalChristian,12:20,,,
SUBOUT:FaceyKentan,12:20,,,
,12:19,,,,40-57,-17,GOOD!DUNKbyBellJordan[PNT]
,12:19,,,ASSISTbyBrooksDillon
FOULbyVitalChristian(P2T4),12:17,,,MISSEDFTSHOTbyBellJordan
REBOUND(DEF)byPurvisRodney,12:17,,,
,12:04,,,FOULbyBrooksDillon(P3T2)
GOOD!LAYUPbyPurvisRodney[PNT],11:51,42-57,-15,
,11:51,,,FOULbyBellJordan(P2T3)
TIMEOUTMEDIA,11:51,,,
GOOD!FTSHOTbyPurvisRodney,11:51,43-57,-14,
,11:27,,,MISSEDJUMPERbyBrooksDillon
,11:27,,,REBOUND(OFF)byBellJordan
REBOUND(DEF)byBrimahAmida,11:21,,,MISSEDJUMPERbyBellJordan
MISSED3PTRbyJacksonVance,11:12,,,REBOUND(DEF)byBellJordan
,11:01,,,,43-59,-16,GOOD!LAYUPbyBellJordan[PNT]
,11:01,,,ASSISTbyBrooksDillon
SUBIN:EnochSteven,10:59,,,SUBIN:DorseyTyler
SUBOUT:BrimahAmida,10:59,,,SUBIN:BoucherChris
,10:59,,,SUBOUT:BrooksDillon
,10:59,,,SUBOUT:EnnisDylan
GOOD!LAYUPbyVitalChristian[PNT],10:37,45-59,-14,
,10:28,,,,45-62,-17,GOOD!3PTRbyBoucherChris
,10:28,,,ASSISTbyBensonCasey
GOOD!LAYUPbyPurvisRodney[PNT],10:17,47-62,-15,
,09:50,,,,47-64,-17,GOOD!JUMPERbyDorseyTyler
GOOD!LAYUPbyAdamsJalen[PNT],09:35,49-64,-15,
,09:09,,,TURNOVRbyBellJordan
,09:09,,,FOULbyBellJordan(P3T4)
MISSEDLAYUPbyPurvisRodney,08:46,,,
REBOUND(OFF)byEnochSteven,08:46,,,
GOOD!DUNKbyEnochSteven[PNT],08:44,51-64,-13,
REBOUND(DEF)byEnochSteven,08:27,,,MISSED3PTRbyBoucherChris
,08:22,,,FOULbyPritchardPayton(P2T5)
,08:22,,,SUBIN:EnnisDylan
,08:22,,,SUBOUT:BensonCasey
TURNOVRbyJacksonVance,08:07,,,
,07:43,,,TURNOVRbyBellJordan
STEALbyVitalChristian,07:42,,,
GOOD!3PTRbyVitalChristian,07:26,54-64,-10,
ASSISTbyAdamsJalen,07:26,,,
,07:22,,,TIMEOUTmedia
SUBIN:BrimahAmida,07:22,,,SUBIN:BrooksDillon
SUBOUT:EnochSteven,07:22,,,SUBOUT:BellJordan
FOULbyVitalChristian(P3T5),07:13,,,
REBOUND(DEF)byJacksonVance,06:53,,,MISSEDJUMPERbyBrooksDillon
MISSED3PTRbyPurvisRodney,06:35,,,REBOUND(DEF)byDorseyTyler
,06:28,,,,54-67,-13,GOOD!3PTRbyDorseyTyler[FB]
GOOD!3PTRbyJacksonVance,06:15,57-67,-10,
ASSISTbyAdamsJalen,06:15,,,
REBOUND(DEF)byPurvisRodney,05:43,,,MISSEDLAYUPbyBoucherChris
GOOD!LAYUPbyAdamsJalen[PNT],05:23,59-67,-8,
,05:06,,,TURNOVRbyBrooksDillon
STEALbyAdamsJalen,05:04,,,
MISSED3PTRbyJacksonVance,04:55,,,REBOUND(DEF)byDorseyTyler
FOULbyJacksonVance(P3T6),04:52,,,
REBOUND(DEF)byAdamsJalen,04:30,,,MISSEDJUMPERbyBrooksDillon
,04:21,,,FOULbyPritchardPayton(P3T6)
,04:21,,,SUBIN:BellJordan
,04:21,,,SUBIN:BensonCasey
,04:21,,,SUBOUT:PritchardPayton
,04:21,,,SUBOUT:BrooksDillon
GOOD!LAYUPbyAdamsJalen[PNT],04:08,61-67,-6,
,04:01,,,,61-69,-8,GOOD!LAYUPbyEnnisDylan[FB/PNT]
TURNOVRbyBrimahAmida,03:47,,,
FOULbyBrimahAmida(P3T7),03:47,,,
,03:47,,,TIMEOUTmedia
REBOUND(DEF)by(TEAM),03:20,,,MISSED3PTRbyEnnisDylan
MISSED3PTRbyPurvisRodney,03:07,,,
REBOUND(OFF)byJacksonVance,03:07,,,
MISSED3PTRbyAdamsJalen,03:02,,,REBOUND(DEF)byEnnisDylan
REBOUND(DEF)byVitalChristian,02:41,,,MISSED3PTRbyDorseyTyler
TURNOVRbyVitalChristian,02:37,,,
,02:35,,,STEALbyBellJordan
,02:35,,,,61-71,-10,GOOD!LAYUPbyEnnisDylan[FB/PNT]
,02:35,,,ASSISTbyBellJordan
TURNOVRbyAdamsJalen,02:27,,,STEALbyBellJordan
,02:24,,,,61-73,-12,GOOD!DUNKbyBellJordan[FB/PNT]
MISSEDJUMPERbyAdamsJalen,02:07,,,
REBOUND(OFF)by(TEAM),02:07,,,
TIMEOUTTEAM,02:06,,,
GOOD!JUMPERbyAdamsJalen[PNT],02:00,63-73,-10,
,01:39,,,,63-75,-12,GOOD!LAYUPbyEnnisDylan[PNT]
MISSED3PTRbyVitalChristian,01:31,,,REBOUND(DEF)byEnnisDylan
FOULbyJacksonVance(P4T8),01:29,63-76,-13,GOOD!FTSHOTbyEnnisDylan
,01:29,,,,63-77,-14,GOOD!FTSHOTbyEnnisDylan
GOOD!FTSHOTbyAdamsJalen,01:25,64-77,-13,FOULbyBellJordan(P4T7)
MISSEDFTSHOTbyAdamsJalen,01:25,,,REBOUND(DEF)byBoucherChris
SUBIN:FaceyKentan,01:25,,,SUBIN:BrooksDillon
SUBOUT:BrimahAmida,01:25,,,SUBOUT:BellJordan
,01:14,,,TURNOVRbyBensonCasey
GOOD!3PTRbyJacksonVance,01:10,67-77,-10,
ASSISTbyAdamsJalen,01:10,,,
FOULbyVitalChristian(P4T9),01:02,,,MISSEDFTSHOTbyBensonCasey
REBOUND(DEF)by(TEAM),01:02,,,
,01:02,,,SUBIN:BellJordan
,01:02,,,SUBOUT:BoucherChris
,01:00,,,SUBIN:PritchardPayton
,01:00,,,SUBOUT:BensonCasey
GOOD!LAYUPbyAdamsJalen[PNT],00:53,69-77,-8,
FOULbyVitalChristian(P5T10),00:47,69-78,-9,GOOD!FTSHOTbyDorseyTyler
,00:47,,,,69-79,-10,GOOD!FTSHOTbyDorseyTyler
SUBIN:DurhamJuwan,00:47,,,
SUBOUT:VitalChristian,00:47,,,
MISSEDLAYUPbyAdamsJalen,00:41,,,
REBOUND(OFF)byDurhamJuwan,00:41,,,
TIMEOUT30sec,00:37,,,
MISSED3PTRbyJacksonVance,00:32,,,REBOUND(DEF)byBrooksDillon
,00:01,,,TURNOVRby(TEAM)
